Çoooooook mutluyum;Pozitif
Hep sonradan gelir aklim basima hep sonradan sonradan @dehaonline supersinnnnn yolun acik olsun… https://t.co/y3k0H5W6nn;Pozitif
???????????????? @merveeebolugur @muratdalkilic https://t.co/1lzZzT2BEn;Pozitif
Ama e_er geçilirse 80 bin seviyesine kadar bankalarla 80 bin geçildikten sonra Banka d___ hisselerle yükseli_in devam edece_ini dü_ünüyorum.;Pozitif
_nsan_n en büyük hatas_ sevmek de_il. Sevmeye layik olmayan birinden sevilmeyi beklemektir....;Negatif
türküz türkçüyüz Atatürkçüyüz ben apo posterleri alt_nda direnmek istemiyorum gövde gösterisi yapman_n hiçbir anlam_ yok;Negatif
Do_um günümü kutlayan herkese çok te_ekkür ederim :);Pozitif
@bayodn olsun be al__t_kk bi görüp bi  görmemeye seni hshd ??;Pozitif
_stanbul :) <3;Pozitif
Stalin ile Hitler'i k_yaslayan teneke kafalar var m_ lan gerçekten.Biri fa_ist di_eri komünist katiller bunlar._kiside hak etti_i gibi öldü;Negatif
Mükemmel erkek nas_l olur :))))))) https://t.co/0mBcN8HSrY;Pozitif
#sald_rGalatasaray muslera adams_n;Pozitif
hay_rl_ ramazanlar.;Pozitif
banka sevgilimden çok ar_yorsa sevgilim yok demektir;Negatif
Olmad_ olana kadar, Dua ederiz!;Pozitif
Do_um günümü kutlayan herkese çooook te_ekkür ediyorum.;Pozitif
Sahurda telefonla oynamaktan yemek yiyemedim 2 bardak su içtim ve _uan açl_ktan y_k_lcam karam istiyorum hayat bu kadar zor olmamal_yd_;Negatif
@zeyneptayfun1 kuzum ya__yorum tabiki?? yapal_m beklemeli olmas_n aman??;Pozitif
Banka müdürü hedefi tutturamayan çal__anlar_ dövdü https://t.co/1SyNBg0DfG https://t.co/Gz5iGrzBoC;Negatif
Annem ve karde_imle kahve içiyoree :D;Pozitif
Ödevim bitti sadece bir sayfam kald_ çokta s_k_ld_m yaz yaz bitmedi;Negatif
Bana destek olan herkese çok te_ekkür ediyorum.;Pozitif
otursak banka, sen bana hiç bilmedi_im bir hikaye anlatsan. bildi_im bir hikaye de anlatsan, ben bilmezden gelirim söz.;Pozitif
Ya çok tatl_???? https://t.co/ALU4C4EGEi;Pozitif
"Kesintili e_itim için kesintisiz dayak!.._ki gündür biber gaz_, boyal_ su, tazyikli su, cop darbesi, iti_ kak__ g_rla...";Negatif
bu ne kadar da mahvolmaya müsait bi hayat ya;Negatif
Görünü_e aldanma çünkü hiç bir _ey göründü_ü gibi de_ildir. Bugün hayat veren su yar_n sizi bo_abilir.;Negatif
"Bir yerden sonra toparlanam_yor; hep da__l_yor insan.";Negatif
Bilimsel Aç_klamalar_yla Birlikte Düzenli Kitap Okuman_n Bize Kazand_rd___ 13 Muhte_em Özellik https://t.co/mL0iLFIMW7;Pozitif
Hayat ba__ra ba__ra, susmay_ ö_retir insana;Negatif
Bak_n zeki kültürlü insandan zarar gelmez yan_lg_s_n_ bi kenara b_rak_n art_k ya Atalay Filiz bunun en iyi örne_i;Negatif
"cevahirin söndü, silkinmedin memleketim... dikenler batt_ kalbine, kesildi _ahdamar_n... can_na kast edene, ""eyvallah"" dedin, ba_r_na bast_n memleketim... söz bitti, a_u bitti... _imdi ahir zaman, olacaklar_ gör memleketim... 18.05.2014 / Kelâms_z...";Negatif
Benden size tavsiye hep için ama a_z_n_zla.Ramazan geliyo diye agd ya gerek yok??;Pozitif
Hayat _aka gibi ama komik de_il i_te.;Negatif
heyecanl_ i_ler pe_inde (@kececiender)bayku_ çifti (@ Zümrüt Foto_raf Stüdyolar_ in Ankara) https://t.co/wLjfwVptrO https://t.co/kAOTQOvl16;Pozitif
Olumm bu nas_l i_ ya edebiyatc_ daha girmedi notlar_ nas_l telafi s_nav_na gircez bizz :/ :(;Negatif
Uyusam ve bitene kadar uyanmasam ke_ke.;Pozitif
TFF, e-postalar_n içeri_ini yay_nlam_yor. TFF standartlar_nda _ike olmas_ imkans_z.;Negatif
"A_k; Sand___n Kadar De_il! - Yand___n Kadard_r...";Negatif
Sürpriz babalar günü kutlad_k ??;Pozitif
Okul arkada_lar_yla bulu_ma;Pozitif
Back to town ???? #istanbul #happy #love #mycity ???? https://t.co/ss3h4t33hi;Pozitif
Anlamakta zorlan_yorum.Bir insan evini yazl___n_ arabas_n_ ve banka paras_n_ ald_ktan sonra h_rs_ nas_l b_rakmaz..Yeter bu kadar nas_l demez;Negatif
Yeni bilgisayar alm__lar _ükürler olsun;Pozitif
_u an inan_lmaz mutluluk ya__yorum;Pozitif
bu üçlü çok güçlü ???????????????? https://t.co/a1e6zByH0n;Pozitif
#helyumlobisi Kaç_ranlar üzülmesin..RTE 'nin Diyarbak_r stand up gösterisi var daha ..;Negatif
Resmen yar_n 4 y_ll_k lise hayat_m_n sonuna gelmi_ bulunucam;Pozitif
@DenizBank istanbul ye_ilköy _ubenize bir türlü ula_am_yorum.. Ondan sonra niye bizimle çal__m_yorsunuz diye ar_yorsunuz;Negatif
Kaç silgi tozu daha gidicek bi trigonometri u_runa ??;Negatif
#ÖzgeCanAslan YÜREG_M, KALB_M SEN_NLE UNUTMAYACAGIZ SEN_!!;Negatif
Ana gene buika konserine gidemiyorum?? ben yokummm ama????;Negatif
Bu sene tek umudum Be_ikta_...;Pozitif
Annemle Alisveris yapyoss <3;Pozitif
Hayat gülünce güzel Hayat ne_eliyken güzel Hayat kankalar_mla gülerken güzel... #okul #kanka… https://t.co/1V8vX13C3c;Pozitif
Ey Rabbim! Gözya_lar_mda Umutlar_m_ Büyüten Kalbimin Tek Sahibi…Akl_m_z_ Koru…Izd_raplar_m_z_ Hafiflet…Ellerimizden Tut…Dü_üncelerimizi Anlaml_ K_l… Ey Rabbim sen bütün Mümin karde_lerimizin yapt___ ve yapaca__ dualar_ en güzeliyle kabul et… (Amin) _n_allah… Dua eder dua bekleriz _n_allah..;Pozitif
Senin k_rmaya korktu_un insan seni 2 dakikada paramparça eder,yapacak bir sey yok var boyle yav_aklar.;Negatif
Bugün mutfa_a geçip bi sürü tatl_ yap_cam iftardan sonra da hepsini yiycem yiycem h_h;Negatif
Ya ben art_k özlenmek, sevilmekk istiyorummm ??;Pozitif
bjkta_l_ olman_n büyük gururu .....;Pozitif
_ETT otobüslerindeki klima Ramazan ay_nda resmen hayat kurtar_yor.. k_sa mesafeler için bile otobüse binebilirim..;Pozitif
Arkada__m sevgilin var tamam anlad_kta biz senin balici sevgilinin fotolar_n_ 24 saat instagramda görmek zorundam_y_z yeter ya;Negatif
Güne_in pembeli_iyle do_an, safl___yla süzülen, herkese nasip olmayan mutluluk denen o en güzel duygu sizle olsun. Hay_rl_ cumalar dilerim. Günler bize dostlar_n güzelli_iyle, geceler onlar_n dualar_yla mübarek oluyor.Umudumuz dostlar_n hediyesi, duam_zsa sizlerin sevgisi. Cuman_z mübarek olsun..;Pozitif
RT @darkandlonewing: Biri sizden intikam almaya çal___yor #BüyükOyun;Negatif
Avrupan_n,Rusyan_n,Uzak Do_unun ne kadar aç ve dar gelirlisi varsa kar__daki kom_umuz Yunanistan'da de_il, memleketimizde.Malum hesab_ Euro;Negatif
Trafik de s_k_nt_dan 28038392 foto_raf çekebilme kabiliyetine sahibim ??????;Negatif
Kendimi kand_rmaktan ba_kalar_na s_ra gelmiyor;Negatif
RT @SporGram: Biraz da konu d___m_za ç_kal_m :)Hayvan dostlar_m_za kar__ bu s_cak günlerde duyarl_ olal_m https://t.co/Ddb6HlPzmK;Pozitif
bu sosyal a_lar oldugu sürece her a_k ve arkada_l_k biticek zamanla;Negatif
Bilemezsinki i_te...????;Pozitif
Bulutlu bir havaya günayd_nnnnnnn ???;Pozitif
Müzakerelerde talep edilenleri yerine getirip, savc_y_ kurtarmak zor muydu ? Soru bu olmal_. Yaz_k bir insan daha öldü ...;Negatif
tüm islam alemimizin M_RAÇ KAND_L_ mübarek olsun.rabbim tüm müslüman mümin karde_lerimizin dualar_n_ kabul eylesin.AM_N.;Pozitif
RT @MerveAydin90: Sporun içinden gelmeyip sporla alakal_ yorum yap_p ve yazd___m yaz_y_ aç_klayamayacak kadar dar dü_ünürlüler????;Negatif
Sevmesini bilenlerin sevgiler gunu kutlu olsun;Pozitif
Sosyal ya__yorum birkaç gündür;Pozitif
Daha ne kadar cirkinlesebilirsiniz #Çocukistismar_nahay_r   https://t.co/2rklJSDYGZ;Negatif
"Ankara'da 100'e yak_n insan ölmü_. ""Bu salak millet bir galibiyetle birlik oldu_unu zannedecek"" yazd_m diye negatif oluyorum. 100 ölü var.";Negatif
Sabah_n 5 inde bile sinir ediyorlar insan_ ya;Negatif
Banka ve endeks hisseleri öncülü_ünde yükselebiliriz. Bugün ne hikmetse banka hisseleri,sanayi hisseleri kadar dü_medi.;Pozitif
Be_ikta_ tarih yazd_! Good bye Liverpool!;Pozitif
art_k senin müslümanl___ndanda _üpeliyim allah c.c. kuluna zulmetmezken sen kimsinki zulmediyosun tayip yeter art_k bizide ayakl_nd_rcan;Negatif
siz b_rakmad___n_z için insanlar _unu soruyo kime vercez herkesin sorusu ayn_ bu ülkeyi seviyosan_z atatürkü seviyosan_z b_rak_n lütfengidin;Negatif
Tamam teröristleri bombalayal_m ama h_rs_zlar_ da unutmayal_m di mi yani.  Ulen Tayyip sen yok musun sen;Negatif
Uyku ne güzel _ey ya;Pozitif
Kahkahadan dolu saatlere cok az kaldi???????? #oyunageldik bu gece suoer konuklariyla @turabicamkiran… https://t.co/iqtqdANJWU;Pozitif
Benim harika magnetlerim var can_m ?????? Çok haval_y_m ?????????????? yourhappymagnet… http://t.co/bYOkeBpjJS;Pozitif
Hayat_mdan tiksinmi_ durumday_m ve kendimden. Ama kendimi bundan dolay_ mutsuz hissetmiyorum.;Negatif
RT @tumblrcunuz: bir _ey sorcam whatsapp durumunuzla neden birine gönderme yap_yosunuz manyak m_s_n_z kral tv altyaz_ m_ oras_;Negatif
6 aral_k St.Nikolaus günü,Demre de kutlamalar !;Pozitif
ve golllll...;Pozitif
"Hiç tan_mad___m_z teyzenin  gelip ""100 milyar param var banka da ve 1 hafta da 1 paket sigara içiyorum"" demesi kadar saçma bu havalar";Negatif
Hayat k_sa, hava s_cak, insanlar karaktersiz.;Negatif
Burdan yazmakla hic bir sey olmuyo ama 400 milletvekili isteyen rte oglunu hakkariye 12 ay askere gondersin diyebiliyoruz sadece.;Negatif
"RT @alikemal: Kendi okurunu ""aptal"" yerine koyan bir tane daha gazete yoktur eminim. ""güneydeki dost ülke"" diyen kimdi!? Yaz_k! https://t.c…";Negatif
günah degil mi bira iciyosunuz bende buzlu bardakla 50 lilik bira alab_l_rm_y_m ?? (at @KafeistBistro) https://t.co/SeGuQ9vbKK;Pozitif
