Çoooooook mutluyum;Pozitif
Hep sonradan gelir aklim basima hep sonradan sonradan @dehaonline supersinnnnn yolun acik olsun… https://t.co/y3k0H5W6nn;Pozitif
???????????????? @merveeebolugur @muratdalkilic https://t.co/1lzZzT2BEn;Pozitif
Ama eðer geçilirse 80 bin seviyesine kadar bankalarla 80 bin geçildikten sonra Banka dýþý hisselerle yükseliþin devam edeceðini düþünüyorum.;Pozitif
Ýnsanýn en büyük hatasý sevmek deðil. Sevmeye layik olmayan birinden sevilmeyi beklemektir....;Negatif
türküz türkçüyüz Atatürkçüyüz ben apo posterleri altýnda direnmek istemiyorum gövde gösterisi yapmanýn hiçbir anlamý yok;Negatif
Doðum günümü kutlayan herkese çok teþekkür ederim :);Pozitif
@bayodn olsun be alýþtýkk bi görüp bi  görmemeye seni hshd ??;Pozitif
Ýstanbul :) <3;Pozitif
Stalin ile Hitler'i kýyaslayan teneke kafalar var mý lan gerçekten.Biri faþist diðeri komünist katiller bunlar.Ýkiside hak ettiði gibi öldü;Negatif
Mükemmel erkek nasýl olur :))))))) https://t.co/0mBcN8HSrY;Pozitif
#saldýrGalatasaray muslera adamsýn;Pozitif
hayýrlý ramazanlar.;Pozitif
banka sevgilimden çok arýyorsa sevgilim yok demektir;Negatif
Olmadý olana kadar, Dua ederiz!;Pozitif
Doðum günümü kutlayan herkese çooook teþekkür ediyorum.;Pozitif
Sahurda telefonla oynamaktan yemek yiyemedim 2 bardak su içtim ve þuan açlýktan yýkýlcam karam istiyorum hayat bu kadar zor olmamalýydý;Negatif
@zeyneptayfun1 kuzum yaþýyorum tabiki?? yapalým beklemeli olmasýn aman??;Pozitif
Banka müdürü hedefi tutturamayan çalýþanlarý dövdü https://t.co/1SyNBg0DfG https://t.co/Gz5iGrzBoC;Negatif
Annem ve kardeþimle kahve içiyoree :D;Pozitif
Ödevim bitti sadece bir sayfam kaldý çokta sýkýldým yaz yaz bitmedi;Negatif
Bana destek olan herkese çok teþekkür ediyorum.;Pozitif
otursak banka, sen bana hiç bilmediðim bir hikaye anlatsan. bildiðim bir hikaye de anlatsan, ben bilmezden gelirim söz.;Pozitif
Ya çok tatlý???? https://t.co/ALU4C4EGEi;Pozitif
"Kesintili eðitim için kesintisiz dayak!..
Ýki gündür biber gazý, boyalý su, tazyikli su, cop darbesi, itiþ kakýþ gýrla...";Negatif
bu ne kadar da mahvolmaya müsait bi hayat ya;Negatif
Görünüþe aldanma çünkü hiç bir þey göründüðü gibi deðildir. Bugün hayat veren su yarýn sizi boðabilir.;Negatif
"Bir yerden sonra toparlanamýyor; hep daðýlýyor insan.";Negatif
Bilimsel Açýklamalarýyla Birlikte Düzenli Kitap Okumanýn Bize Kazandýrdýðý 13 Muhteþem Özellik https://t.co/mL0iLFIMW7;Pozitif
Hayat baðýra baðýra, susmayý öðretir insana;Negatif
Bakýn zeki kültürlü insandan zarar gelmez yanýlgýsýný bi kenara býrakýn artýk ya Atalay Filiz bunun en iyi örneði;Negatif
"cevahirin söndü, silkinmedin memleketim... dikenler battý kalbine, kesildi þahdamarýn... canýna kast edene, ""eyvallah"" dedin, baðrýna bastýn memleketim... söz bitti, aðu bitti... þimdi ahir zaman, olacaklarý gör memleketim... 18.05.2014 / Kelâmsýz...";Negatif
Benden size tavsiye hep için ama aðzýnýzla.Ramazan geliyo diye agd ya gerek yok??;Pozitif
Hayat þaka gibi ama komik deðil iþte.;Negatif
heyecanlý iþler peþinde (@kececiender)baykuþ çifti (@ Zümrüt Fotoðraf Stüdyolarý in Ankara) https://t.co/wLjfwVptrO https://t.co/kAOTQOvl16;Pozitif
Olumm bu nasýl iþ ya edebiyatcý daha girmedi notlarý nasýl telafi sýnavýna gircez bizz :/ :(;Negatif
Uyusam ve bitene kadar uyanmasam keþke.;Pozitif
TFF, e-postalarýn içeriðini yayýnlamýyor. TFF standartlarýnda þike olmasý imkansýz.;Negatif
"Aþk; Sandýðýn Kadar Deðil! - Yandýðýn Kadardýr...";Negatif
Sürpriz babalar günü kutladýk ??;Pozitif
Okul arkadaþlarýyla buluþma;Pozitif
Back to town ???? #istanbul #happy #love #mycity ???? https://t.co/ss3h4t33hi;Pozitif
Anlamakta zorlanýyorum.Bir insan evini yazlýðýný arabasýný ve banka parasýný aldýktan sonra hýrsý nasýl býrakmaz..Yeter bu kadar nasýl demez;Negatif
Yeni bilgisayar almýþlar þükürler olsun;Pozitif
Þu an inanýlmaz mutluluk yaþýyorum;Pozitif
bu üçlü çok güçlü ???????????????? https://t.co/a1e6zByH0n;Pozitif
#helyumlobisi Kaçýranlar üzülmesin..RTE 'nin Diyarbakýr stand up gösterisi var daha ..;Negatif
Resmen yarýn 4 yýllýk lise hayatýmýn sonuna gelmiþ bulunucam;Pozitif
@DenizBank istanbul yeþilköy þubenize bir türlü ulaþamýyorum.. Ondan sonra niye bizimle çalýþmýyorsunuz diye arýyorsunuz;Negatif
Kaç silgi tozu daha gidicek bi trigonometri uðruna ??;Negatif
#ÖzgeCanAslan YÜREGÝM, KALBÝM SENÝNLE UNUTMAYACAGIZ SENÝ!!;Negatif
Ana gene buika konserine gidemiyorum?? ben yokummm ama????;Negatif
Bu sene tek umudum Beþiktaþ...;Pozitif
Annemle Alisveris yapyoss <3;Pozitif
Hayat gülünce güzel Hayat neþeliyken güzel Hayat kankalarýmla gülerken güzel... #okul #kanka… https://t.co/1V8vX13C3c;Pozitif
Ey Rabbim! Gözyaþlarýmda Umutlarýmý Büyüten Kalbimin Tek Sahibi…Aklýmýzý Koru…Izdýraplarýmýzý Hafiflet…Ellerimizden Tut…Düþüncelerimizi Anlamlý Kýl… Ey Rabbim sen bütün Mümin kardeþlerimizin yaptýðý ve yapacaðý dualarý en güzeliyle kabul et… (Amin) Ýnþallah… Dua eder dua bekleriz Ýnþallah..;Pozitif
Senin kýrmaya korktuðun insan seni 2 dakikada paramparça eder,yapacak bir sey yok var boyle yavþaklar.;Negatif
Bugün mutfaða geçip bi sürü tatlý yapýcam iftardan sonra da hepsini yiycem yiycem hýh;Negatif
Ya ben artýk özlenmek, sevilmekk istiyorummm ??;Pozitif
bjktaþlý olmanýn büyük gururu .....;Pozitif
ÝETT otobüslerindeki klima Ramazan ayýnda resmen hayat kurtarýyor.. kýsa mesafeler için bile otobüse binebilirim..;Pozitif
Arkadaþým sevgilin var tamam anladýkta biz senin balici sevgilinin fotolarýný 24 saat instagramda görmek zorundamýyýz yeter ya;Negatif
Güneþin pembeliðiyle doðan, saflýðýyla süzülen, herkese nasip olmayan mutluluk denen o en güzel duygu sizle olsun. Hayýrlý cumalar dilerim. Günler bize dostlarýn güzelliðiyle, geceler onlarýn dualarýyla mübarek oluyor.Umudumuz dostlarýn hediyesi, duamýzsa sizlerin sevgisi. Cumanýz mübarek olsun..;Pozitif
RT @darkandlonewing: Biri sizden intikam almaya çalýþýyor #BüyükOyun;Negatif
Avrupanýn,Rusyanýn,Uzak Doðunun ne kadar aç ve dar gelirlisi varsa karþýdaki komþumuz Yunanistan'da deðil, memleketimizde.Malum hesabý Euro;Negatif
Trafik de sýkýntýdan 28038392 fotoðraf çekebilme kabiliyetine sahibim ??????;Negatif
Kendimi kandýrmaktan baþkalarýna sýra gelmiyor;Negatif
RT @SporGram: Biraz da konu dýþýmýza çýkalým :)Hayvan dostlarýmýza karþý bu sýcak günlerde duyarlý olalým https://t.co/Ddb6HlPzmK;Pozitif
bu sosyal aðlar oldugu sürece her aþk ve arkadaþlýk biticek zamanla;Negatif
Bilemezsinki iþte...????;Pozitif
Bulutlu bir havaya günaydýnnnnnnn ???;Pozitif
Müzakerelerde talep edilenleri yerine getirip, savcýyý kurtarmak zor muydu ? Soru bu olmalý. Yazýk bir insan daha öldü ...;Negatif
tüm islam alemimizin MÝRAÇ KANDÝLÝ mübarek olsun.rabbim tüm müslüman mümin kardeþlerimizin dualarýný kabul eylesin.AMÝN.;Pozitif
RT @MerveAydin90: Sporun içinden gelmeyip sporla alakalý yorum yapýp ve yazdýðým yazýyý açýklayamayacak kadar dar düþünürlüler????;Negatif
Sevmesini bilenlerin sevgiler gunu kutlu olsun;Pozitif
Sosyal yaþýyorum birkaç gündür;Pozitif
Daha ne kadar cirkinlesebilirsiniz #Çocukistismarýnahayýr   https://t.co/2rklJSDYGZ;Negatif
"Ankara'da 100'e yakýn insan ölmüþ. ""Bu salak millet bir galibiyetle birlik olduðunu zannedecek"" yazdým diye negatif oluyorum. 100 ölü var.";Negatif
Sabahýn 5 inde bile sinir ediyorlar insaný ya;Negatif
Banka ve endeks hisseleri öncülüðünde yükselebiliriz. Bugün ne hikmetse banka hisseleri,sanayi hisseleri kadar düþmedi.;Pozitif
Beþiktaþ tarih yazdý! Good bye Liverpool!;Pozitif
artýk senin müslümanlýðýndanda þüpeliyim allah c.c. kuluna zulmetmezken sen kimsinki zulmediyosun tayip yeter artýk bizide ayaklýndýrcan;Negatif
siz býrakmadýðýnýz için insanlar þunu soruyo kime vercez herkesin sorusu ayný bu ülkeyi seviyosanýz atatürkü seviyosanýz býrakýn lütfengidin;Negatif
Tamam teröristleri bombalayalým ama hýrsýzlarý da unutmayalým di mi yani.  Ulen Tayyip sen yok musun sen;Negatif
Uyku ne güzel þey ya;Pozitif
Kahkahadan dolu saatlere cok az kaldi???????? #oyunageldik bu gece suoer konuklariyla @turabicamkiran… https://t.co/iqtqdANJWU;Pozitif
Benim harika magnetlerim var caným ?????? Çok havalýyým ?????????????? yourhappymagnet… http://t.co/bYOkeBpjJS;Pozitif
Hayatýmdan tiksinmiþ durumdayým ve kendimden. Ama kendimi bundan dolayý mutsuz hissetmiyorum.;Negatif
RT @tumblrcunuz: bir þey sorcam whatsapp durumunuzla neden birine gönderme yapýyosunuz manyak mýsýnýz kral tv altyazý mý orasý;Negatif
6 aralýk St.Nikolaus günü,Demre de kutlamalar !;Pozitif
ve golllll...;Pozitif
"Hiç tanýmadýðýmýz teyzenin  gelip ""100 milyar param var banka da ve 1 hafta da 1 paket sigara içiyorum"" demesi kadar saçma bu havalar";Negatif
Hayat kýsa, hava sýcak, insanlar karaktersiz.;Negatif
Burdan yazmakla hic bir sey olmuyo ama 400 milletvekili isteyen rte oglunu hakkariye 12 ay askere gondersin diyebiliyoruz sadece.;Negatif
"RT @alikemal: Kendi okurunu ""aptal"" yerine koyan bir tane daha gazete yoktur eminim. ""güneydeki dost ülke"" diyen kimdi!? Yazýk! https://t.c…";Negatif
günah degil mi bira iciyosunuz bende buzlu bardakla 50 lilik bira alabýlýrmýyým ?? (at @KafeistBistro) https://t.co/SeGuQ9vbKK;Pozitif
TÜM MÜSLÜMAN ALEMÝNÝN MÜBAREK RAMAZAN BAYRAMI HAYIRLARA VESÝLE OLUR ÝNÞAALLAH;Pozitif
